Nationality,ID,letter,text,,
French,hl_11,11,"What could my Darling, your little husband find more agreeable than to be able to write you a little note in this sad situation, to tell you all my dear ones that in this day, I am still well and at the same time as always I hope and desire with all my heart that you all enjoy very good health. Peace does not come quickly on our poor land overthrown by modern science turned into unbridled barbarism. Finally, let us always have the hope that this dreadful calamity will end like everything else in this world. Last night, I did not get my good letter. Tonight, I look forward to it. Time does not pass quickly enough. My beloved Valentine, I still hope so. Ah how happy I will be when I will be near you forever. Courage and hope! Heart always beautiful! I end for today, my dear ones, by kissing you wholeheartedly. How I love you! Your dear little one who loves you very much, hugging my darling little wife. ",,
French,hl_12,12,"My Darling, this morning I received a letter from you dated 3. It gave me great pleasure to know that you are in excellent health. For me it's still going very well but tonight I'm sorry, I thought I was going to finish today, but I was unlucky. In the morning, we had 2 devices to shoot and they were both broken, then after noon to make matters worse it rained all evening so we couldn't fly. Provided that the weather is fine tomorrow, because I have had enough of this country, then I can't wait to see you again. Finally, I hope the weather will be fine and that I can finish quickly so that I can be near you on Saturday or Sunday morning. In this hope, I end by kissing you very hard and for a long time on your beloved mouth .",,
French,hl_13,13,"""Yesterday, throughout the journey, the people in a hurry at level crossings and stations did not stop cheering us, the women sending kisses, the men taking over with us the Marseillaise and the Chant du Départ. Why? Must a deaf anguish take hold of my heart? If it were in operation, it would be very amusing; but here it is, the day after tomorrow, in 3 days perhaps, the bullets will rain and who knows? was not going to come back, if I was going to kill my mother, murder my mother, on purpose? Oh, what's in store for me? Sorry mom! I should have stayed, working my cello for you, for you who made so many sacrifices, for a little mother, already sick! ",,
French,hl_14,14,"You cannot get an idea, my dear, how unhappy we are; so yet I am not too used to complaining, but this time I have to because it is one thing beyond the imaginable, it is not to be able to say to you. In this tunnel, we are an affair of 3000 men in reserve, in a humidity because the water trickles all along the walls, and there However, we have to sleep there on the railway line. We go to look for food in the middle of the night near Verdun, accompanied all along the way by the shells, which means that we can only have one meal a day and without soup. To get to the front lines, it is very painful and very dangerous; about a kilometer before arriving, there is a passage called the ravine of death, who knows the men that there is killed in there; you have to go through it, there is no other place. ",,
French,hl_15,15,"I will tell you that we refused to line up on Tuesday night, we did not want to march, we almost went on strike, and many other regiments did as we did. You know if it is clean ... When I go in perme I will tell you better. They take us for animals, make us walk like that and not much to eat, and still get smashed to nothing; we would have mounted the attack, it would have remained half of it and we would not have advanced for that. Well I don't know what will become of it, things are going very badly for the moment. May- be that you will not receive my letter, they will perhaps open them and those where we tell what is happening they will keep them or burn them ... I don't care, I don't care. have had enough of their war. ",,
French,hl_16,16,"My sweet Therese, I haven't written to you for a few days, but you see, here in the trenches, it's cold. My fingers are numb, it's barely if I can still handle my rifle. The living conditions for soldiers like me have become unbearable. Every second we have to fight against hunger, cold, sleep and fear. Because yes, we are afraid. Fear of seeing Germans appear at any time. The interior of the trenches is muddy. This mud is found everywhere, even in the bread that we eat once you've touched it. It also tastes quite unpleasant. But we are not allowed to be choosy since food is increasingly scarce. Rats have also invaded our trenches. They are huge and even uglier than the ones I have seen on the farm. And more wicked. Not long ago they killed a dog and ate it. Killing has become a habit for me. It's horrible to say but it's the truth. These three years of war have made monsters of me and all my companions. Great battles such as the one at Verdun last year which claimed more than 680,000 lives are clear proof of this. We have all given up hope that this massacre will ever end. When I left, even if leaving you was heartbreaking for me, I was smiling because I believed the State when it told us that it would only be a matter of months, that we would quickly come back to find our little one quiet life. All the soldiers believed him. The point is, it's the third Christmas I'm going to be away from you and more than half of the men I've gone with have already died. They all had parents, friends, family, some were even fathers. They will never see their loved ones again. And all these children will grow up alone, because their father left to die for the homeland. But the state is guilty of an even bigger lie. One of our comrades returned from leave a few weeks ago. He brought us some newspapers to show us what civilians are told about the war. Enemy bullets would have no effect on us. And the neighbor's son then, how did he die? Another article also spoke of Verdun precisely. So that way, the shelters had all the necessary comforts, such as heating or electricity? According to the soldier, when he wanted to contradict this collection of lies, the civilians did not believe him. They were convinced that what was written is none other than the truth. How can it be so? I hope you are not one of those people or that this letter will change your mind.Some of my companions, because they could not live far from their families without seeing their children grow up, resorted to voluntary mutilation. Our superiors noticed this and these soldiers will be shot this evening. How can the state do this? All these soldiers are fighting for men in higher positions who themselves stay warm by developing pseudostrategies. However, at the slightest sign of weakness, as soon as the desire to stop killing is felt, the government does not hesitate to kill these soldiers, when they are men from its homeland who would have been ready to give their lives. for France! Let them take care of the damn Boches who duck us from morning to night! It is like the affair of the martyrs of Vingré. These poor men were guilty of nothing, except for wanting to escape the enemy. You must be wondering why I am telling you all this today when, in my previous letters, I had it. seem to be happy. Here's the reason: censorship is watching. She reads every letter of ours and, as soon as a letter is a little pessimistic, it is destroyed. The government makes you believe that we are going to win this war, that the soldiers die happy for their homeland, that we always have our fill and that we do not suffer from the cold. This is all wrong and I want you to know the truth. But I know you will receive this letter because the baker's son has permission. I asked him to give you this letter. Can you thank him by cooking something for him? You've always had a knack for cooking. Hope our son is doing well. I have only seen him twice since he was born. I hope I will have another permission soon to be able to visit you. These days away from you two are getting more and more unbearable. All my love in this letter for you and our child.",,
French,hl_17,17,"My dear mother, I will probably surprise you by telling you that it was almost without regret that I left Paris, but it is the truth. What do you want, I noticed, like all my comrades, that these two years of war had gradually brought about selfishness and indifference among the civilians and that we combatants were almost forgotten. I will therefore try to forget how I have been forgotten, it will certainly be more difficult, and yet I had had a very nice dream for two years. What a desappointment ! Now I will feel good alone. May the hazards of war not cripple me forever, rather death is now my only hope.",,
French,hl_18,18,"Dear Marie, I am writing two letter words to tell you that follows in good health and I want my letter to find you all, too. I am still in the hospital but not for long, if I had stayed for 15 days I would have had a leave of 6 days. I don't know where it comes from I write every day and I don't get reply. I look forward to hearing from you soon. I see much more to say for today. I end by kissing you with all my heart. Good morning to you all. ",,
French,hl_19,19,"Very dear husband, I am writing you these few lines to give you our news which is always very good for the moment the whole family is like this and I think that my letter to you will find the same. We received your letter on Tuesday, which gives us great pleasure to hear from you, which I expected every day. We received Panorama tones on Friday. The little ones were very happy is your little girl who talks every day about her daddy who is very cute. My dear Antoine, I received my allowances on Saturday evening at 3 a.m. twenty francs from January 15th. But if you need anything, then let me know. Belugeon gave me 3 bushels of clover 3 days since the cows were out of the field. Every day it rains a lot and it's cold it's a bad weather. I can't see much more to say to you but don't get bad blood on us, you can rest easy now. I end my letter by kissing you with all my heart many times. Your wife. Good morning from all the family. ",,
British,na_uk_01,20,"Dear Mr Welsh,\n\nWe were only out here a matter of a few hours before we went into the trenches; we were there for eight days and then came on to what is called a Rest Camp. I suppose it is called that to distinguish it from the trenches because the men are at work all day road and trench making and it comes under both rifle and artillery fire. We got here at 7 o’clock yesterday morning and were shelled at 9 o’clock.\n\nIn the trenches it was fairly bad, they are so narrow and smelly and one is being potted at and shelled all the time. A turn of eight days was really quite long enough because it is strenuous work and even when you do turn in for a rest you have to be ready to turn out at once on an alarm.\n\nThe country is really quite pretty and just like the hills and valleys of South Wales, but there are no brooks or rivers. It rains hard for a month each year usually about this time and then there is no more until the next rainy season. But although it is so gloriously sunny something is wrong with the place and it really isn’t as healthy as it looks. I think the flies have something to do with it as well as the heat and the still unburied dead bodies about. There are millions and millions of flies here and they are all over everything. Put a cup of tea down without a cover and it is immediately covered with dead ones, they are all round your mouth and directly you open it to speak or to eat in they pop. It is a game. We have all got nets of course, we should have been worried, no medicine by now if we hadn’t.\n\nWe get plenty of bully beef and army biscuits, but bread and fresh meat is still a luxury and it is not possible to buy anything. It must have been a “No Man’s Land” because there are no houses or buildings of any kind to be seen and except the flies, the only living things are green canaries and lizards.\n\nWe live in dugouts built up the reverse sides of the hills. They are just holes really, but all the same they can be made very comfortable with a bit of digging and a few waterproof sheets. They are not shell proof by any means and the one I slept in during my first night here was knocked in completely by a shell pitching right into it. Fortunately I was not at home at the time. We have another now and I must try and get a photo of it and let you see what it is like. I must send you one of our\n\nMess dugout too.\n\nEverything here is named after the Regiment responsible for the making or taking. For instance the road we made from our trenches to this camp is called “New Bedford Rd” and the ridge we took and now occupy is called on the army maps, Bedford Ridge. I have just been filling in and colouring my map and find it is one of the most, if not the most, advanced line of the lot. Standing on that ridge it is possible to see what a lot of country we have taken and now hold, but there is nothing to get wildly excited about. Each position is strengthened as much as possible before another attempt is made to push on and the whole thing is just steady progress. Something might happen suddenly, I only hope it does.\n\nWe have had some very big ships out here and they have been bombarding the forts heavily now for some few days, and there are cruisers, monitors etc. standing in the bay helping the land batteries to shell the trenches. You see a flash and then wait a long time before hearing the boom and the shriek of the shell passing over our heads, almost together, then look round quickly and see the burst of the shell in or over the trenches sometimes before hearing the explosion. The first we know of shells aimed at us is the bang of the explosion, and it is too late to get out of the way. Three officers were laid flat on their backs the other day without any hurt except to their dignity and farther on six men were buried without one being injured. It isn’t always like that though.\n\nThere is quite good bathing here when we can find time to go. As the beach is in full view of the enemy, and comes under their shell fire, it would not appeal to the nervous. We never keep closer together than ten yards when we are undressing and swimming in hopes that the Turk will not consider one man worth the price of a shell. We have had some casualties through the men keeping too close together, but after washing out of a teacup for a week or more it is worth a bit of risk to get rid of some of the trench dust and smell and feel and look clean again. And really is the best bathing I’ve ever had. The water is quite warm and clear.\n\nAll the hospital work is done on board a ship that stands in the bay. If the cases are serious or lengthy they are transferred to one of the hospital ships that calls daily and then go to either one of the bases or back to England. We land troops night or day in spite of the fact that they come under fire so it is possible for a man to be on his way back wounded, by the same ship that bought him from the base, without ever having landed.\n\nWe had a grand voyage out. All the officers had either staterooms or 1st Class cabins and the food mostly was just the same as we should have had on an ordinary cruise to India or Australia, wherever it is that the Cruise Line calls. The usual cabin stewards and waiters were in attendance and it was difficult to remember that we were not exactly on a pleasure trip. We did enjoy those two weeks…\n\nKind regards,\n\nYours sincerely,\n\nH.W. Cronin, Lieutenant.\n\nI am acting as captain until some of the others come back from hospital.",,
British,na_uk_02,21,"Dear Nic (Boyce),Thanks very much for your interesting letter… I wondered when I would hear from someone at the office. Also many thanks for your good wishes and congratulations on my marriage which I have conveyed to my wife. I am sure she will thank you all very much.Well to tell you a little about our experiences, we started off mysteriously one Sunday from Devonport on the captured German liner Derflinger, not a bad boat. The Warrant Officers had 2nd class quarters it was all right. Food was very fair. Submarine pickets* every night for one of the four companies, lights out… at seven or half past. Stole by Gibraltar at night in a fog expecting it to be torpedoed. We did reach Malta in due course after skirting north African coast, spent a day there, went ashore, had a few drinks which we needed being very hot and then on to Alexandria for three days, ashore every night, not a bad place, of course the lower men didn’t go, except for a route march on the Saturday. Our movements were kept very secret and we couldn’t find out what was to be done with our division, we then pushed to Port Said and had a day there. All of a sudden, we received orders to sail and soon found we were off to Gallipoli as we were passing through the Aegean sea, which is as you know full of pretty islands. Some hours before reaching Lemnos, the naval guns could be heard booming and we ran into the magnificent harbour there full of shipping and life. After a day there, we pushed on to Imbros 4½ miles from Sulva Bay during the afternoon they treated us to a naval shelling of Achi Baba, which is really the other side of the peninsula, but they shoot over the hills and mountains here. It was a fine sight and many of our chaps went sick at once. At night (Sunday 9/8/15) our good ship made for Anafarta Bay where a new landing had been effected two days before. 900 rounds, four days’ rations each, as much as a man is expected to carry and they dumped us over the side in lighters [a type of flat-bottomed barge] at 7am, a short journey through the boom defences and we were ashore waiting for something to turn up.\n\nBivouacked on the beach and were put on unloading lighters till about 10 when the Turks spotted us and started shelling, two men killed and four wounded to start with and we lost a few more, wounded during the day although naturally we took what cover we could. I had one or two near me whilst getting a timber out of the hold of a lighter but managed to dodge them all right. At night my company received orders to take picks and shovels up into the firing line which was about five miles away half way up Chocolate Hill… Well Nic the 10th were soon in the thick of it as we advanced across the salt lake in extended order.\n\nRifle fire now we had to dodge and many of our chaps got hit rather seriously I have since found out. I was glad of a rest at the foot of the hill but had to push on again and deliver the goods, after feeling about in the dark for some time our guide led us in single file up behind the firing line, where we laid down, bullets were whistling round but we managed to escape them… The enemy were yelling for all they were worth and I was glad when our captain ordered us down again to the beach. This took us some hours and when we reached the place, the other three had gone up to reinforce the firing line, so up we went again the next day about 6pm, nearly all things are done here in the dark as we are in view all the time. We again advanced across the take from Lala Baba, my heels were nearly raw through new boots and I eventually had to rest for a fortnight later on. Well on our right was a hill burning furiously with many a chap caught in the flames and so perishing (not our regiment).\n\nWe finished on rather a feathered bed and did not find the other Company ‘til next day, it was a night, we were all parched with the heat, and no water. Dried up and had to dig ourselves in, it’s no light job this hiding being… like an ostrich, ‘til you make a hole large enough to get into and make yourself head cover.",,
British,na_uk_03,22,"Dear Lack,Many thanks for the photographs received. We all think they are good and on Saturday the six of us had out photo taken here in a similar position– in khaki. The two pictures together should make a lasting memento.We have had little spare time since we have been training here. Having been through company drill mixed with route marches, physical drill, semaphore, knot tying and frog, long jumping etc. Some of our men were able to go to town on Saturday… but I myself with a few others have been under orders for overseas service now waiting to proceed, so popping up town seems out of the question for us. We are numbered in alphabetical order, and in the order we are sent out. We are now fully equipped. I enclose … postage for the photographs. If you are printing any more you might save me one as I am afraid I have spoilt mine, it got bent in my overcoat pocket on Saturday. Please remember me to all at the office. Boyce",,
British,na_uk_04,23,"Dear Bert,Just a few lines to let you know I am alright, hoping you are the same… At the present time we are in dugouts. The weather is simply awful, raining day after day and especially night after night…To tell you the truth, while writing this letter I am wet through to the skin and not a dry thing for a change. We have got our winter fur coats and gum boots, but the latter cause more curses than you can imagine, for instance last night I was sent off to select dugouts for our platoon, which is number 37. It was pitch dark, no light allowed and in a strange place, well honestly I fell over at least 20 times got smothered in mud from head to feet and on the top of that wet though for it rained in torrents. On a round of inspection this morning to see if all were ‘comfortable’ I was ‘blinded’ up hill and down dale, ‘Sergeant this’ and ‘Sergeant that’.How can you expect men to live in this, and then to put a dampener on the lot, was the language from the occupiers who unfortunately were in a residence that fell in during the night. They took shelter under a tree from 2am after looking for me for half an hour or so, but they could not find me, for the only thing that would shift me, after settling down, if I may call it that, would be a ‘Jack Johnson’ and then I would have no option.While in the trenches last week John and I were up to our knees in water and got our gum boots half full. The line is a bit quiet lately and only now and again do we get a shelling, but one gets used to it. That, to give you an idea, is like sitting at Paddington and hearing the engines screech.After our stretch this time I shall be looking forward for a short leave for I have been here nearly three months now and we stand a good chance. Well I must now conclude…Yours sincerely. Jack Symons.P.S. Every other home down near the rest camp is an Estaminet (small French café) where they sell what they call ‘beer’, and as much as I like a drop of good beer I have given the stuff out here ‘best’ for is awful muc",,
British,na_uk_05,24,"Dear Mr Hunt,Please accept yourself and convey to the other gentlemen my best thanks for the State Express cigarettes. They are fine. Oh what a picnic it is in the trenches just now. We have been in the trenches 10 days up to now, and except for the last two days it has been raining almost steadily. The result is mud, mud and yet more mud, knee deep in places. But luckily we have long top boots from trench wear, so that the mud does not worry as much, except that is making our feet as cold as ice… We have been issued with fur jackets so we can keep our bodies warm.Just now the whole countryside is covered with snow and moving objects are distinguishable a long distance off. For instance this morning when I was on duty with the gun I could see the Germans walking down a road away behind their lines. I had several bursts at them with the gun but they were out of range. Made me damned mad I can tell you seeing the blighters and then not being able to lay them out.You can’t realise the power one seems to possess when handling a Maxim. Personally I feel as if I could lay out the whole German army. We fire about a couple of thousand rounds every night into Fritz’s trenches just to keep them quiet. They (the Germans) have been trying to find the gun, both with their Maxims and with shells, but up to now, they’ve not succeed. Kind regards to everybody. Yours very sincerely,Gilbert Williams.",,
British,na_uk_06,25,"I might say we are all merry and bright and not down hearted yet.\n\nDear Mr Hunt,\n\nReceived card alright for which I must thank you very much. We are still at Longmoor and no signs of moving as I have been made cook’s mate and had to work very hard all through Xmas.\n\nSapper Hodges",,
British,na_uk_07,26,"As long as you kept your head down you were comparatively safe, so as it went on, this was where I had my first escape. I was on sentry duty for a couple of hours, from 1am to 3am and was instructed to keep a sharp look out. I did not care for the idea of keeping my head above the trench and looking for beastly Germans, however it had to be done, it was quite uncanny to watch the enemy trench which appeared somewhat like a black wave and only sixty yards in front, then you would suddenly see the flash of their rifles and machine guns immediately after would come the report and nasty thuds on the sandbags which you might be resting against. I fired about five shots at their flashes (the only target to aim at) then another two shells which lodged in the parapet either side of my head leaving about 2 to 3 inches between me and certain death. I thought that near enough but it turned out that it was to have something nearer than that. Our casualties here amounted on the average, to about two per day killed, of course, we thought it terrible at the time at least I did. Early April saw us relieved by another division and we were sent a few miles back for a well-earned rest, which consisted of physical drill and a run before breakfast. The remainder of the morning being spent in platoon drill musketry drills. After dinner we put the “cap on” our rest (why so called I do not know) by having a route march for two hours. We spent a few days like this and were dispatched with all possible speed to Ypres, here we went in to support the Canadians and spent a most unpleasant eight days, during which time we lost several hundred men, nearly all my friends who came out in the same draft and were killed or wounded, we had to retire, the best part being that the Germans did not find this out until two days after when we were more or less safely bivouacking in a very pretty wood. We stayed here for about a week; then we got to work again, digging reserve trenches just behind the front line, building up parapets which had been demolished by the enemy’s high explosive shells and such like, working all night and getting what sleep we could in the daytime. One morning we were awakened by the most awful din, it seemed as though hell had broken loose, shells were falling like summer rain. And people have often told me in the course of conversation it was raining shells and I admit I took it with a grain of salt, could not be possible I thought, but such I was surprised to find was possible and actually taking place there about 3.30am. This bombardment started and about half an hour later, I, with three others, were ordered to start reinforcing. We went up in fours, it being considered safer that way, half a mile over open ground we had to do, this being swept continually with shells, to give you a slight idea I can say the previous night, just in front of our reserve trenches was a beautifully green field, and the next morning it was as much as one could do to see any grass at all, simply one mass of craters, varying in diameter from ten to twelve paces.\n\nI had gone about half the required distance when a shell fell only a yard from where I was, the force of the concussion [explosion] pitched me several yards to my left and I came down rather heavily, however I reached the first line without any further mishap, where we had to stay until midnight when we had to be relieved again owing to not having enough me to hold the trench. Our honours were one V.C. (Victoria Cross), two D.S.O.  (Distinguished Service Orders), one Military Cross and one or two D.C.M. (Distinguished Conduct Medals).The next day I paraded sick, my back paining me so much that I could not stand straight for a week after. I am now back with the regiment who are on the line of communications. We are having leave shortly and if possible will pay a visit to the Audit office. Have you any news of Chichester? Yours truly,(Rifleman) E.H.C. Stewart",,
British,na_uk_08,27,"This trench of ours is a model in its own way, being fairly safe, and connected by good communication trenches. The Commanding Officer’s house of white sandbags is fitted with window, curtains, and window box with pansies in it. It is furnished with table and chairs also a large mirror. Of course this is quite a ‘one occasion’ affair and don’t imagine we are here town planning with model dwellings etc! But it will show you how soldiers can adapt themselves to circumstances. At the back of our trench is ripening corn and plenty of wildflowers in bloom.We have also canaries in cages in the trench! But these are used by the miners for testing the air in the mines after the explosion, to see if it was possible to finish off their job. [Censored line] captured from the Germans a short time ago and during the stay we were kept busy with sandbags etc. and at night of course had to especially watch the enemy. When in the reserve or support trenches fatigue work has to be done every night, such as carrying food, ammunition, material for the engineers etc. to the firing line, so you can guess it is nothing but continual ‘bob’ work (odd jobs).",,
